0,da,Danish,Danish
1,de,German,German
2,dv,Divehi AND  Dhivehi AND  Maldivian,Divehi
3,dz,Dzongkha,Dzongkha
4,ee,Ewe,Ewe
5,el,Greek,Greek
6,en,English,English
7,eo,Esperanto,Esperanto
8,es,Spanish,Spanish
9,et,Estonian,Estonian
10,eu,Basque,Basque
11,ae,Avestan,Avestan
12,af,Afrikaans,Afrikaans
13,aa,Afar,Afar
14,ab,Abkhaz,Abkhazian
15,am,Amharic,Amharic
16,an,Aragonese,Aragonese
17,ak,Akan,Akan
18,av,Avaric,Avaric
19,ar,Arabic,Arabic
20,as,Assamese,Assamese
21,ay,Aymara,Aymara
22,az,Azeri,Azerbaijani
23,fa,Persian (Farsi),Persian
24,ff,Fula AND  Fulah AND  Pulaar AND  Pular,Fulah
25,fj,Fijian,Fijian
26,fi,Finnish,Finnish
27,fo,Faroese,Faroese
28,fr,French,French
29,fy,Western Frisian,Western Frisian
30,ga,Irish,Irish
31,gd,Scottish Gaelic AND  Gaelic,Scottish Gaelic
32,gn,Guaraní,Guarani
33,gl,Galician,Galician
34,gu,Gujarati,Gujarati
35,li,Limburgish AND  Limburgan AND  Limburger,Limburgish
36,lo,Lao,Lao
37,ln,Lingala,Lingala
38,la,Latin,Latin
39,lb,Luxembourgish AND  Letzeburgesch,Luxembourgish
40,lg,Ganda,Ganda
41,lu,Luba-Katanga,Luba-Katanga
42,lt,Lithuanian,Lithuanian
43,lv,Latvian,Latvian
44,mh,Marshallese,Marshallese
45,mi,Māori,Maori
46,mk,Macedonian,Macedonian
47,ml,Malayalam,Malayalam
48,mn,Mongolian,Mongolian
49,mg,Malagasy,Malagasy
50,my,Burmese,Burmese
51,mr,Marathi (Marāṭhī),Marathi
52,ms,Malay,Malay
53,mt,Maltese,Maltese
54,bg,Bulgarian,Bulgarian
55,be,Belarusian,Belarusian
56,ba,Bashkir,Bashkir
57,bo,Tibetan Standard AND  Tibetan AND  Central,Tibetan
58,bn,Bengali,Bengali
59,bm,Bambara,Bambara
60,bi,Bislama,Bislama
62,bs,Bosnian,Bosnian
63,br,Breton,Breton
64,ce,Chechen,Chechen
65,ca,Catalan,Catalan
66,co,Corsican,Corsican
67,ch,Chamorro,Chamorro
68,cv,Chuvash,Chuvash
69,cu,Old Church Slavonic AND  Church Slavonic AND  Old Bulgarian,Church Slavic
70,cr,Cree,Cree
